norad_id_a,norad_id_b
14524,44441
14524,33404
14524,37175
14524,59629
14524,85425
14524,69236
14524,69675
14524,12907
14524,270361
14524,12892
14524,32730
14524,270362
14524,69571
14524,37607
14524,3627
14524,64063
14524,25591
14524,26045
14524,62486
14524,56565
14524,62375
14524,62851
14524,20316
14524,63525
14524,59070
14524,44077
14524,100173
14524,58049
14524,58050
14524,57209
14524,270365
14524,85424
14524,44205
14524,49328
14524,49329
14524,84415
14524,27850
14524,100271
14524,58991
14524,44493
14524,54698
14524,63362
14524,41897
14524,52256
14524,32374
14524,85051
14524,100141
14524,59916
14524,45864
14524,25017
14524,88110
14524,42968
14524,39158
14524,84233
14524,62717
14524,81905
14524,47257
14524,25968
14524,87021
14524,40618
14524,7915
14524,43205
14524,23966
14524,67303
14524,66205
14524,61911
14524,55687
14524,54745
14524,85414
14524,85412
14524,89285
14524,56175
14524,22051
14524,55132
14524,54744
14524,66451
14524,37773
14524,27500
14524,23333
14524,23806
14524,87997
14524,66991
14524,28947
14524,37937
14524,53766
14524,43179
14524,82778
14524,48273
14524,29311
14524,36034
14524,58570
14524,89269
14524,39218
14524,12787
14524,84452
14524,43563
14524,43373
14524,69237
14524,28524
14524,38677
14524,25054
14524,55913
14524,41587
14524,28264
14524,62260
14524,55843
14524,41383
14524,63076
14524,43875
14524,44480
14524,41795
14524,15875
14524,41837
14524,36983
14524,55684
14524,1730
14524,44477
14524,56760
14524,270052
14524,38780
14524,20411
14524,42817
14524,63100
14524,63101
14524,63102
14524,63103
14524,23756
14524,27457
14524,40942
14524,84588
14524,63663
14524,60484
14524,27669
14524,45029
14524,41043
14524,48839
14524,47307
14524,44335
14524,26898
14524,44478
14524,20559
14524,27692
14524,15390
14524,41947
14524,65487
14524,42819
14524,22913
14524,43287
14524,54246
14524,41905
14524,45808
14524,82857
14524,26967
14524,25520
14524,34383
14524,81634
14524,31308
14524,37811
14524,42663
14524,85267
14524,37206
14524,41022
14524,44232
14524,40268
14524,35944
14524,40615
14524,84479
14524,84136
14524,89067
14524,39524
14524,81696
14524,38993
14524,20356
14524,41808
14524,49335
14524,35568
14524,85001
14524,28645
14524,270193
14524,38753
14524,58964
14524,41030
14524,32295
14524,45028
14524,25904
14524,33751
14524,81821
14524,26899
14524,84342
14524,100245
14524,22670
14524,57755
14524,38674
14524,38095
14524,84346
14524,54028
14524,29498
14524,40665
14524,7688
14524,16996
14524,81102
14524,13608
14524,45918
14524,28938
14524,49498
14524,25868
14524,40273
14524,44803
14524,44802
14524,12546
14524,87053
14524,41696
14524,64471
14524,89391
14524,26636
14524,44872
14524,59021
14524,30795
14524,49337
14524,81872
14524,26851
14524,26792
14524,37394
14524,42743
14524,23125
14524,29657
14524,81103
14524,60558
14524,88288
14524,38553
14524,43825
14524,81104
14524,43634
14524,53365
14524,28876
14524,40334
14524,42952
14524,18598
14524,11028
14524,36583
14524,40270
14524,29646
14524,36288
14524,41385
14524,41810
14524,28544
14524,67720
14524,23523
14524,43274
14524,26072
14524,33057
14524,45855
14524,41108
14524,49058
14524,40548
14524,33406
14524,88203
14524,39371
14524,41946
14524,46116
14524,29326
14524,21942
14524,43176
14524,27731
14524,33276
14524,57754
14524,23616
14524,29534
14524,42433
14524,13011
14524,38922
14524,29164
14524,52905
14524,40121
14524,37208
14524,28982
14524,52963
14524,38601
14524,19535
14524,4377
14524,52914
14524,52916
14524,42966
14524,39618
14524,62850
14524,43612
14524,38742
14524,19549
14524,38884
14524,85429
14524,100402
14524,40876
14524,81182
14524,43464
14524,27821
14524,52906
14524,36746
14524,41689
14524,30479
14524,13912
14524,39235
14524,87518
14524,84624
14524,84414
14524,38333
14524,34184
14524,43845
14524,64197
14524,37174
14524,47241
14524,24892
14524,58583
14524,85430
14524,40148
14524,43089
